x,y,label,meta
540000,29.582557247726527,"745 East 6th Street, 1b",Alphabet City · Rentals - Walkup Apartments
8600000,442.88804202286536,208 East 7th Street,Alphabet City · Rentals - Walkup Apartments
4665000,1401.7427884615386,191 East 7 Street,Alphabet City · Rentals - Walkup Apartments
280000,40.72727272727273,"510 East 5th Street, 9",Alphabet City · Rentals - Walkup Apartments
8800000,1228.0212112754675,207 East 4 Street,Alphabet City · Rentals - Walkup Apartments
4000000,572.2460658082975,327 East 10 Street,Alphabet City · Rentals - Walkup Apartments
13000000,454.22781271837874,183 Avenue C,Alphabet City · Rentals - Elevator Apartments
16700000,383.73161764705884,176 East 3 Street,Alphabet City · Rentals - Elevator Apartments
8685245,767.9261715296198,204 Avenue A,Alphabet City · Rentals - Elevator Apartments
597997,52.87329796640142,"204 Avenue A, 3a",Alphabet City · Rentals - Elevator Apartments
112250000,1015.5613860490365,"250 East Houston Street, 1",Alphabet City · Special Condo Billing Lots
3550000,509.325681492109,703 East 6 Street,Alphabet City · Office Buildings
5000000,1183.7121212121212,195 East 3 Street,Alphabet City · Theatres
4775000,1419.8632173654476,304 West 18th Street,Chelsea · One Family Dwellings
13100000,2980.6598407281003,344 W 22 Street,Chelsea · One Family Dwellings
13500000,4437.869822485207,348 West 22 Street,Chelsea · One Family Dwellings
11600000,1486.2267777065983,217 West 20 Street,Chelsea · One Family Dwellings
7650000,2273.402674591382,204 West 21st Street,Chelsea · One Family Dwellings
10600000,1578.5554728220402,224 West 22nd Street,Chelsea · One Family Dwellings
14999999,1667.2222963209958,150 West 15th Street,Chelsea · One Family Dwellings
4999999,1025.6408205128205,443 West 19th Street,Chelsea · Two Family Dwellings
4500000,1339.2857142857142,447 West 24th,Chelsea · Two Family Dwellings
7800000,1846.590909090909,343 West 19 Street,Chelsea · Two Family Dwellings
10600000,1152.1739130434783,313 West 20 Street,Chelsea · Two Family Dwellings
7500000,1704.5454545454545,125 West 15th Street,Chelsea · Three Family Dwellings
5750000,809.8591549295775,446 West 19th Street,Chelsea · Rentals - Walkup Apartments
9250000,1159.1478696741854,410 West 22nd Street,Chelsea · Rentals - Walkup Apartments
10,0.0009402914903620122,246 10th Avenue,Chelsea · Rentals - Walkup Apartments
10,0.001035625517812759,248 10th Avenue,Chelsea · Rentals - Walkup Apartments
6650000,1209.090909090909,331 West 19 Street,Chelsea · Rentals - Walkup Apartments
16625000,1539.351851851852,205 8 Avenue,Chelsea · Rentals - Walkup Apartments
16625000,1539.351851851852,207 8 Avenue,Chelsea · Rentals - Walkup Apartments
5000000,874.1258741258741,356 West 21st Street,Chelsea · Rentals - Walkup Apartments
5400000,1200,217 West 15 Street,Chelsea · Rentals - Walkup Apartments
45500,3.3886944216876445,534 West 29,Chelsea · Rentals - Elevator Apartments
20000000,1047.1204188481674,448-450 West 19th Street,Chelsea · Rentals - Elevator Apartments
242500,20.815450643776824,"411 West 24th Street, 11e",Chelsea · Rentals - Elevator Apartments
8500000,414.7150663544106,313-315 West 21 Street,Chelsea · Rentals - Elevator Apartments
12500000,991.3553810770085,135 West 24th Street,Chelsea · Rentals - Elevator Apartments
21000000,2720.559657986786,58-60 Ninth Ave,Chelsea · Rentals - 4-10 Unit
350000,105.10510510510511,210 7 Avenue,Chelsea · Rentals - 4-10 Unit
46181250,837.5120146533433,541 West 21 Street,Chelsea · Office Buildings
3250000,91.29213483146067,"127 West 24th Street, 2",Chelsea · Office Buildings
7100000,614.7186147186147,131 West 14 Street,Chelsea · Store Buildings
168618594,1089.182970312379,113-117 West 24 Street,Chelsea · Luxury Hotels
25150000,727.6777964238181,550 West 25 Street,Chelsea · Commercial Garages
