asofdate,program,locationid,borrname,borrstreet,borrcity,borrstate,borrzip,bankname,bankfdicnumber,bankncuanumber,bankstreet,bankcity,bankstate,bankzip,grossapproval,sbaguaranteedapproval,approvaldate,approvalfy,firstdisbursementdate,processingmethod,subprogram,initialinterestrate,fixedorvariableinterestind,terminmonths,naicscode,naicsdescription,franchisecode,franchisename,projectcounty,projectstate,sbadistrictoffice,congressionaldistrict,businesstype,businessage,loanstatus,paidinfulldate,chargeoffdate,grosschargeoffamount,revolverstatus,jobssupported,collateralind,soldsecmrktind
3/31/2026, 7A,317954,"Title2Land, L.L.C.",11851 Wentling Ave,BATON ROUGE,LA,70816,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,450000,337500,12/5/2020,2021,1/1/2021,Preferred Lenders Program,Guaranty,6,V,300,531390,Other Activities Related to Real Estate ,,,EAST BATON ROUGE,LA,LOUISIANA DISTRICT OFFICE ,6,CORPORATION,Existing or more than 2 years old,LIQUID,,,0,FALSE,9,TRUE,Y
3/31/2026, 7A,317954,PERFECT GAME INCORPORATED,850 TWIXT TOWN RD NE,CEDAR RAPIDS,IA,52402,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,3750000,2812500,12/5/2020,2021,1/1/2021,Preferred Lenders Program,Guaranty,6,V,120,713940,Fitness and Recreational Sports Centers ,,,LINN,IA,CEDAR RAPIDS BRANCH OFFICE ,1,CORPORATION,Existing or more than 2 years old,P I F,11/30/2025,,0,FALSE,250,TRUE,Y
3/31/2026, 7A,317954,"Center of New England Primary Care, Inc.",1830 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,2904,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,1687300,1265475,12/5/2020,2021,12/31/2020,Preferred Lenders Program,Guaranty,6,V,252,621111,Offices of Physicians (except Mental Health Specialists) ,,,PROVIDENCE,RI,RHODE ISLAND DISTRICT OFFICE ,1,CORPORATION,Existing or more than 2 years old,PURCH(NOT C/O),,,0,FALSE,38,TRUE,Y
3/31/2026, 7A,317954,JUST IN TIME REFRIGERATION LLC,6400 EDNA TAYLOR PKWY,MONONA,WI,53716,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,862000,646500,12/5/2020,2021,1/1/2021,Preferred Lenders Program,Guaranty,6,V,300,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",,,DANE,WI,WISCONSIN DISTRICT OFFICE ,2,CORPORATION,Existing or more than 2 years old,P I F,7/31/2023,,0,FALSE,0,TRUE,Y
3/31/2026, 7A,317954,Mills True Value Hardware,205 CLINTON BLVD,CLINTON,MS,39056,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,80000,68000,12/5/2020,2021,1/1/2021,Preferred Lenders Program,Guaranty,6,V,120,444130,Hardware Stores ,,,HINDS,MS,MISSISSIPPI DISTRICT OFFICE ,2,CORPORATION,Existing or more than 2 years old,CURR,,,0,FALSE,3,TRUE,Y
3/31/2026, 7A,29805,Hyde & Associates LLC,31 FAIRMONT AVE,Chester,NJ,7930,"TD Bank, National Association",18409,,2035 Limestone Rd,WILMINGTON,DE,19808,1035000,776250,12/5/2020,2021,12/22/2020,Preferred Lenders Program,Guaranty,4.8,F,119,541211,Offices of Certified Public Accountants ,,,MORRIS,NJ,NEW JERSEY DISTRICT OFFICE ,7,CORPORATION,Existing or more than 2 years old,CURR,,,0,FALSE,2,TRUE,
3/31/2026, 7A,29805,Hyde & Associates LLC,31 FAIRMONT AVE,Chester,NJ,7930,"TD Bank, National Association",18409,,2035 Limestone Rd,WILMINGTON,DE,19808,75000,37500,12/5/2020,2021,,SBA Express Program,FA$TRK (Small Loan Express),4.8,V,120,541211,Offices of Certified Public Accountants ,,,MORRIS,NJ,NEW JERSEY DISTRICT OFFICE ,7,CORPORATION,Existing or more than 2 years old,CANCLD,,,0,TRUE,2,FALSE,
3/31/2026, 7A,12096,LS HOSPITATLITY INC,1068 N MIAMI BEACH BLVD,NORTH MIAMI BEACH,FL,33162,Wells Fargo Bank National Association,3511,,3201 N 4th Ave,Sioux Falls,SD,57104,5000,2500,12/5/2020,2021,12/22/2020,SBA Express Program,FA$TRK (Small Loan Express),9.25,V,66,561311,Employment Placement Agencies ,,,MIAMI-DADE,FL,SOUTH FLORIDA DISTRICT OFFICE ,24,CORPORATION,New Business or 2 years or less,CHGOFF,,7/30/2025,4885.88,TRUE,0,FALSE,
3/31/2026, 7A,317954,"Center of New England Primary Care, Inc.",1830 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,2904,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,1818700,1364025,12/5/2020,2021,12/31/2020,Preferred Lenders Program,Guaranty,6,V,252,621111,Offices of Physicians (except Mental Health Specialists) ,,,PROVIDENCE,RI,RHODE ISLAND DISTRICT OFFICE ,1,CORPORATION,Existing or more than 2 years old,PURCH(NOT C/O),,,0,FALSE,38,TRUE,Y
3/31/2026, 7A,317954,Disaster Restoration Specialist,18730 CORTEZ BLVD,BROOKSVILLE,FL,34601,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,350000,262500,12/5/2020,2021,1/1/2021,Preferred Lenders Program,Guaranty,6,V,120,236220,Commercial and Institutional Building Construction ,,,HERNANDO,FL,NORTH FLORIDA DISTRICT OFFICE ,11,CORPORATION,Existing or more than 2 years old,CURR,,,0,FALSE,4,TRUE,Y
3/31/2026, 7A,57328,J&J Industrial Graphics LLC,7990 Sodom Ballou Road,Fletcher,OH,45326,The Huntington National Bank,6560,,17 S High St.,COLUMBUS,OH,43215,843000,632250,12/6/2020,2021,12/31/2020,Preferred Lenders Program,Guaranty,5,V,120,323111,Commercial Printing (except Screen and Books) ,,,MIAMI,OH,COLUMBUS DISTRICT OFFICE ,8,CORPORATION,Change of Ownership,CURR,,,0,FALSE,8,TRUE,
3/31/2026, 7A,116770,Firehouse Subs,905 N. Green Street,MORGANTON,NC,28655,Gulf Coast Bank and Trust Company,32974,,200 St. Charles Ave,NEW ORLEANS,LA,70130,320000,240000,12/6/2020,2021,2/5/2021,Preferred Lenders Program,Guaranty,6,V,120,722513,Limited-Service Restaurants ,S0639,Firehouse Subs,BURKE,NC,NORTH CAROLINA DISTRICT OFFICE ,5,CORPORATION,Change of Ownership,P I F,8/31/2024,,0,FALSE,32,TRUE,Y
3/31/2026, 7A,24315,QSR of Ohio LLC,821 Marty Lane,FRANKLIN,OH,45005,Merchants Bank of Indiana,8056,,410 Monon Blvd,CARMEL,IN,46032,1041600,781200,12/6/2020,2021,12/24/2020,Preferred Lenders Program,Guaranty,6,V,120,722513,Limited-Service Restaurants ,S1639,Subway,WARREN,OH,COLUMBUS DISTRICT OFFICE ,1,CORPORATION,Existing or more than 2 years old,CURR,,,0,FALSE,30,TRUE,Y
3/31/2026, 7A,56102,'Fall Forward' Fitness & Wellness Center LLC,75 Portsmouth Ave,Exeter,NH,3833,KeyBank National Association,17534,,127 Public Sq,CLEVELAND,OH,44114,548400,411300,12/6/2020,2021,,Preferred Lenders Program,Guaranty,5.5,V,120,713940,Fitness and Recreational Sports Centers ,S0122,Anytime Fitness,ROCKINGHAM,NH,NEW HAMPSHIRE DISTRICT OFFICE ,1,CORPORATION,"Startup, Loan Funds will Open Business",CANCLD,,,0,FALSE,10,TRUE,
