x,y,label,meta
12.022644346174133,27.0200004577637,"1 km NNE of Volcano, Hawaii",M 1.7
12.022644346174133,0.0084,"20 km NW of Indian Springs, Nevada",M 1.7
13.803842646028853,27.3899993896484,"2 km N of Volcano, Hawaii",M 1.8
1412537.5446227526,10,off the coast of Central America,M 5.1
69.98419960022731,8.2061,"18 km SE of Silver Springs, Nevada",M 2.2
20.18366363681562,13.4187,"15 km SE of Silver Springs, Nevada",M 1.9
251188.6431509577,35,"131 km E of Bitung, Indonesia",M 4.6
5623.413251903491,19.07,"6 km NE of West Salem, Illinois",M 3.5
1.9952623149688788,37.5,"52 km W of Tyonek, Alaska",M 1.2
2.818382931264455,3.06,"19 km ESE of Anza, CA",M 1.3
177827.94100389228,179.368,"Volcano Islands, Japan region",M 4.5
5.821032177708715,7.48,"18 km WSW of Johannesburg, CA",M 1.5
3.019951720402016,-0.24,"14 km NE of Ojai, CA",M 1.3
11.614486138403427,7.62,"18 km WSW of Johannesburg, CA",M 1.7
15.84893192461114,106.5,"60 km E of Pedro Bay, Alaska",M 1.8
15.84893192461114,12.9,"15 km W of Ivanof Bay, Alaska",M 1.8
7.943282347242822,4.6715,"33 km SE of Malaga, New Mexico",M 1.6
1,4.6583,"36 km NW of Stanton, Texas",M 1.0
1.2735030810166617,2.5699999332428,"10 km WNW of The Geysers, CA",M 1.1
1.9952623149688788,5.4702,"21 km SSE of Lindsay, Texas",M 1.2
7.943282347242822,48.1,"17 km WNW of Aleneva, Alaska",M 1.6
501.18723362727144,58.5,"21 km NNE of Sterling, Alaska",M 2.8
2.818382931264455,6.1968,"57 km S of Whites City, New Mexico",M 1.3
1995262.314968883,9.906,"107 km SSW of Sarangani, Philippines",M 5.2
707945.7843841389,45.108,"90 km S of Sarangani, Philippines",M 4.9
1.188502227437019,1.77999997138977,"6 km WNW of Cobb, CA",M 1.1
5.623413251903491,65.7,"0 km ENE of Beluga, Alaska",M 1.5
20.18366363681562,0.850000023841858,"20 km ENE of Tres Pinos, CA",M 1.9
2.9174270140011673,2.82999992370605,"5 km WNW of The Geysers, CA",M 1.3
18.83649089489802,28.1499996185303,"5 km SW of Pāhala, Hawaii",M 1.9
1000,10.9,"39 km SSW of Cordova, Alaska",M 3.0
1.2302687708123818,3.00999999046326,"5 km NW of The Geysers, CA",M 1.1
2818382.931264449,13.3,"35 km SSW of Cordova, Alaska",M 5.3
1.148153621496883,3.0699999332428,"5 km NW of The Geysers, CA",M 1.0
22.38721138568338,6.0999,"60 km S of Whites City, New Mexico",M 1.9
707945.7843841389,10,Kermadec Islands region,M 4.9
354.81338923357606,5,"102 km N of Yakutat, Alaska",M 2.7
7.943282347242822,4.1502,"41 km NW of Toyah, Texas",M 1.6
6.025595860743581,1.86000001430511,"2 km N of The Geysers, CA",M 1.5
5.623413251903491,6.3086,"57 km S of Whites City, New Mexico",M 1.5
15.84893192461114,5.9316,"34 km SW of Coyanosa, Texas",M 1.8
13.467530201577919,11.1000003814697,"10 km NE of Hoodsport, Washington",M 1.8
31.622776601683793,4.465,"57 km S of Whites City, New Mexico",M 2.0
22.38721138568338,54.1,"11 km S of Clam Gulch, Alaska",M 1.9
1.3645831365889254,2.14000010490417,"8 km NW of The Geysers, CA",M 1.1
1.9952623149688788,0,"43 km WNW of Toyah, Texas",M 1.2
7943.282347242822,5.888,"21 km E of Eagle Village, Alaska",M 3.6
177.8279410038923,57.4,"8 km ESE of Clam Gulch, Alaska",M 2.5
1.2302687708123818,0.740000009536743,"2 km N of The Geysers, CA",M 1.1
2.6302679918953813,14.82,"2 km ENE of Studio City, CA",M 1.3
3.981071705534969,0,"35 km SSW of Malaga, New Mexico",M 1.4
177.8279410038923,6.0999,"57 km S of Whites City, New Mexico",M 2.5
2.818382931264455,15.6,"12 km NNE of Whittier, Alaska",M 1.3
3.126079367123956,-0.7,"5 km NW of Boron, CA",M 1.3
22.38721138568338,0.3873,"29 km SE of Balmorhea, Texas",M 1.9
86.09937521846008,6.23,"5 km SSE of Maria Antonia, Puerto Rico",M 2.3
125892.54117941688,57.684,"45 km NE of Hachinohe, Japan",M 4.4
4.570881896148752,8.4399995803833,"9 km N of Redwood Valley, CA",M 1.4
3.126079367123956,8.88000011444092,"2 km SE of Pacifica, CA",M 1.3
14.791083881682072,31.4899997711182,"13 km ENE of Pāhala, Hawaii",M 1.8
5.623413251903491,10.2,"18 km W of Susitna North, Alaska",M 1.5
1.0715193052376064,2.64000010490417,"6 km W of Cobb, CA",M 1.0
3.5892193464500535,15.82,"2 km E of Universal City, CA",M 1.4
4.570881896148752,19.8099994659424,"8 km W of Lake Henshaw, CA",M 1.4
5.8486042191490855,7.61999988555908,"10 km NNE of Ashford, Washington",M 1.5
5.623413251903491,14.8,"48 km SSE of Tanana, Alaska",M 1.5
11.22018454301963,10.68,"17 km SSW of Oasis, CA",M 1.7
125892.54117941688,73.393,"8 km ESE of Geráki, Greece",M 4.4
63095.73444801943,127.12,"50 km SSW of Ollagüe, Chile",M 4.2
22.38721138568338,47.5,"19 km SSW of Susitna, Alaska",M 1.9
707945.7843841389,10,"173 km S of Lembar, Indonesia",M 4.9
43.1519076827765,42.0900001525879,"4 km SSW of Kalaoa, Hawaii",M 2.1
44668.35921509626,146.873,"53 km S of Jurm, Afghanistan",M 4.1
47.86300923226385,2.73,"21 km N of Searles Valley, CA",M 2.1
11.22018454301963,5,"13 km SW of Denali Park, Alaska",M 1.7
7.943282347242822,9.7,"19 km WSW of Ivanof Bay, Alaska",M 1.6
354813.389233576,10,"65 km WNW of Catuday, Philippines",M 4.7
4.570881896148752,3.17000007629395,"3 km NNW of The Geysers, CA",M 1.4
3.4673685045253166,5.48000001907349,"11 km ESE of Willits, CA",M 1.4
63095.73444801943,349.485,"296 km WNW of Houma, Tonga",M 4.2
22.38721138568338,5.177,"57 km S of Whites City, New Mexico",M 1.9
5623.413251903491,21.7,"89 km SE of Adak, Alaska",M 3.5
22.38721138568338,61.6,"55 km SW of Karluk, Alaska",M 1.9
11.22018454301963,1.1013,"5 km WSW of Grandfalls, Texas",M 1.7
130.31667784523,3.1144,"29 km SSW of Alamo, Nevada",M 2.4
40.27170343254587,7.1719,"33 km SSW of Alamo, Nevada",M 2.1
251188.6431509577,10,"63 km WNW of Catuday, Philippines",M 4.6
354.81338923357606,26.8,"36 km NW of Willow, Alaska",M 2.7
7.943282347242822,3.9,"25 km NNW of Fishhook, Alaska",M 1.6
65.31305526474723,13.82,"7 km E of La Parguera, Puerto Rico",M 2.2
2818.3829312644493,35,"95 km SSE of King Cove, Alaska",M 3.3
1000000,10,"68 km WNW of Catuday, Philippines",M 5.0
1.3182567385564075,0.959999978542328,"6 km NNW of The Geysers, CA",M 1.1
1.3182567385564075,2,"7 km NW of The Geysers, CA",M 1.1
2.818382931264455,3.6,"8 km ENE of Fox, Alaska",M 1.3
354813.389233576,30.018,"39 km SW of Kandrian, Papua New Guinea",M 4.7
251188.6431509577,10,"21 km WNW of Djelfa, Algeria",M 4.6
1.188502227437019,15.22,"6 km ESE of Valle Vista, CA",M 1.1
501.18723362727144,52.7,"42 km SSW of Nanwalek, Alaska",M 2.8
7.943282347242822,21.9,"37 km NE of Whittier, Alaska",M 1.6
1.7988709151287874,2.42000007629395,"6 km NNW of The Geysers, CA",M 1.2
1.9952623149688788,32.6,"20 km NW of Girdwood, Alaska",M 1.2
177827.94100389228,60.243,"10 km SSE of Kiupo, Philippines",M 4.5
63.095734448019364,5,"87 km N of Yakutat, Alaska",M 2.2
53.08844442309879,12.0299997329712,"4 km NW of Belden, CA",M 2.1
63.095734448019364,96.5,"71 km SE of Pope-Vannoy Landing, Alaska",M 2.2
177827.94100389228,252.862,"50 km WSW of Abra Pampa, Argentina",M 4.5
1.2735030810166617,8.48,"19 km WSW of Johannesburg, CA",M 1.1
354.81338923357606,9.519,"142 km E of Chalkyitsik, Alaska",M 2.7
